"Evaluate/step_episode","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - _step","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - _step__MIN","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - _step__MAX","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - Evaluate/EpProgress","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - Evaluate/EpProgress__MIN","test_no_spatial_rainbowmini_ep_20100.pth_2024-12-23_18-12-29 - Evaluate/EpProgress__MAX","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - _step","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - _step__MIN","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - _step__MAX","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - Evaluate/EpProgress","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - Evaluate/EpProgress__MIN","test_epsilon_noisy_ep_5700.pth_2024-12-09_14-31-02 - Evaluate/EpProgress__MAX","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - _step","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - _step__MIN","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - _step__MAX","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - Evaluate/EpProgress","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - Evaluate/EpProgress__MIN","test_rainbowmini_ep_24000.pth_2024-12-08_15-44-10 - Evaluate/EpProgress__MAX","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - _step","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - _step__MIN","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - _step__MAX","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - Evaluate/EpProgress","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","test_rainbowepsilon_ep_19500.pth_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - _step","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - _step__MIN","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - _step__MAX","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - Evaluate/EpProgress","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - Evaluate/EpProgress__MIN","test_no_dueling_ep_24900.pth_2024-12-10_13-06-23 - Evaluate/EpProgress__MAX","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - _step","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - _step__MIN","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - _step__MAX","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - Evaluate/EpProgress","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - Evaluate/EpProgress__MIN","test_rainbownoe_ep_8000.pth_2024-12-09_21-42-46 - Evaluate/EpProgress__MAX","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - _step","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - _step__MIN","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - _step__MAX","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - Evaluate/EpProgress","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - Evaluate/EpProgress__MIN","test_edqn_ep_10500.pth_2024-12-11_13-29-49 - Evaluate/EpProgress__MAX"
"0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","3","3","3","1","1","1","3","3","3","1","1","1","3","3","3","1","1","1","3","3","3","1","1","1","3","3","3","1","1","1","3","3","3","1","1","1","3","3","3","1","1","1"
"2","5","5","5","1","1","1","5","5","5","1","1","1","5","5","5","1","1","1","5","5","5","1","1","1","5","5","5","1","1","1","5","5","5","1","1","1","5","5","5","1","1","1"
"3","7","7","7","1","1","1","7","7","7","1","1","1","7","7","7","1","1","1","7","7","7","1","1","1","7","7","7","1","1","1","7","7","7","1","1","1","7","7","7","1","1","1"
"4","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","1","1","1"
"5","11","11","11","1","1","1","11","11","11","1","1","1","11","11","11","1","1","1","11","11","11","1","1","1","11","11","11","1","1","1","11","11","11","1","1","1","11","11","11","1","1","1"
"6","13","13","13","1","1","1","13","13","13","1","1","1","13","13","13","1","1","1","13","13","13","1","1","1","13","13","13","1","1","1","13","13","13","1","1","1","13","13","13","1","1","1"
"7","15","15","15","1","1","1","15","15","15","1","1","1","15","15","15","1","1","1","15","15","15","1","1","1","15","15","15","1","1","1","15","15","15","1","1","1","15","15","15","1","1","1"
"8","17","17","17","1","1","1","17","17","17","1","1","1","17","17","17","1","1","1","17","17","17","1","1","1","17","17","17","1","1","1","17","17","17","1","1","1","17","17","17","1","1","1"
"9","19","19","19","1","1","1","19","19","19","1","1","1","19","19","19","1","1","1","19","19","19","1","1","1","19","19","19","1","1","1","19","19","19","1","1","1","19","19","19","1","1","1"
"10","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1"
"11","23","23","23","1","1","1","23","23","23","1","1","1","23","23","23","1","1","1","23","23","23","1","1","1","23","23","23","1","1","1","23","23","23","1","1","1","23","23","23","1","1","1"
"12","25","25","25","1","1","1","25","25","25","1","1","1","25","25","25","1","1","1","25","25","25","1","1","1","25","25","25","1","1","1","25","25","25","1","1","1","25","25","25","1","1","1"
"13","27","27","27","0.9","0.9","0.9","27","27","27","1","1","1","27","27","27","1","1","1","27","27","27","1","1","1","27","27","27","1","1","1","27","27","27","1","1","1","27","27","27","1","1","1"
"14","29","29","29","1","1","1","29","29","29","1","1","1","29","29","29","1","1","1","29","29","29","1","1","1","29","29","29","1","1","1","29","29","29","1","1","1","29","29","29","1","1","1"
"15","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1"
"16","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1"
"17","35","35","35","1","1","1","35","35","35","1","1","1","35","35","35","1","1","1","35","35","35","1","1","1","35","35","35","1","1","1","35","35","35","1","1","1","35","35","35","1","1","1"
"18","37","37","37","1","1","1","37","37","37","1","1","1","37","37","37","1","1","1","37","37","37","1","1","1","37","37","37","1","1","1","37","37","37","1","1","1","37","37","37","1","1","1"
"19","39","39","39","0.9","0.9","0.9","39","39","39","1","1","1","39","39","39","1","1","1","39","39","39","1","1","1","39","39","39","1","1","1","39","39","39","1","1","1","39","39","39","1","1","1"
"20","41","41","41","1","1","1","41","41","41","1","1","1","41","41","41","1","1","1","41","41","41","1","1","1","41","41","41","1","1","1","41","41","41","1","1","1","41","41","41","1","1","1"
"21","43","43","43","1","1","1","43","43","43","1","1","1","43","43","43","1","1","1","43","43","43","1","1","1","43","43","43","1","1","1","43","43","43","1","1","1","43","43","43","1","1","1"
"22","45","45","45","1","1","1","45","45","45","1","1","1","45","45","45","1","1","1","45","45","45","1","1","1","45","45","45","1","1","1","45","45","45","1","1","1","45","45","45","1","1","1"
"23","47","47","47","1","1","1","47","47","47","1","1","1","47","47","47","1","1","1","47","47","47","1","1","1","47","47","47","1","1","1","47","47","47","1","1","1","47","47","47","1","1","1"
"24","49","49","49","1","1","1","49","49","49","1","1","1","49","49","49","1","1","1","49","49","49","1","1","1","49","49","49","1","1","1","49","49","49","1","1","1","49","49","49","1","1","1"
"25","51","51","51","1","1","1","51","51","51","1","1","1","51","51","51","1","1","1","51","51","51","1","1","1","51","51","51","1","1","1","51","51","51","1","1","1","51","51","51","1","1","1"
"26","53","53","53","1","1","1","53","53","53","1","1","1","53","53","53","1","1","1","53","53","53","1","1","1","53","53","53","1","1","1","53","53","53","1","1","1","53","53","53","1","1","1"
"27","55","55","55","1","1","1","55","55","55","1","1","1","55","55","55","1","1","1","55","55","55","1","1","1","55","55","55","1","1","1","55","55","55","1","1","1","55","55","55","1","1","1"
"28","57","57","57","1","1","1","57","57","57","1","1","1","57","57","57","1","1","1","57","57","57","1","1","1","57","57","57","1","1","1","57","57","57","1","1","1","57","57","57","1","1","1"
"29","59","59","59","1","1","1","59","59","59","1","1","1","59","59","59","1","1","1","59","59","59","1","1","1","59","59","59","1","1","1","59","59","59","1","1","1","59","59","59","1","1","1"
"30","61","61","61","1","1","1","61","61","61","1","1","1","61","61","61","1","1","1","61","61","61","1","1","1","61","61","61","1","1","1","61","61","61","1","1","1","61","61","61","1","1","1"
"31","63","63","63","1","1","1","63","63","63","1","1","1","63","63","63","1","1","1","63","63","63","1","1","1","63","63","63","1","1","1","63","63","63","1","1","1","63","63","63","1","1","1"
"32","65","65","65","1","1","1","65","65","65","1","1","1","65","65","65","1","1","1","65","65","65","1","1","1","65","65","65","1","1","1","65","65","65","1","1","1","65","65","65","1","1","1"
"33","67","67","67","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1"
"34","69","69","69","1","1","1","69","69","69","1","1","1","69","69","69","1","1","1","69","69","69","1","1","1","69","69","69","1","1","1","69","69","69","1","1","1","69","69","69","1","1","1"
"35","71","71","71","1","1","1","71","71","71","1","1","1","71","71","71","1","1","1","71","71","71","1","1","1","71","71","71","1","1","1","71","71","71","1","1","1","71","71","71","1","1","1"
"36","73","73","73","1","1","1","73","73","73","1","1","1","73","73","73","1","1","1","73","73","73","1","1","1","73","73","73","1","1","1","73","73","73","1","1","1","73","73","73","1","1","1"
"37","75","75","75","1","1","1","75","75","75","1","1","1","75","75","75","1","1","1","75","75","75","1","1","1","75","75","75","1","1","1","75","75","75","1","1","1","75","75","75","1","1","1"
"38","77","77","77","1","1","1","77","77","77","1","1","1","77","77","77","1","1","1","77","77","77","1","1","1","77","77","77","1","1","1","77","77","77","1","1","1","77","77","77","1","1","1"
"39","79","79","79","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1"
"40","81","81","81","1","1","1","81","81","81","1","1","1","81","81","81","1","1","1","81","81","81","1","1","1","81","81","81","1","1","1","81","81","81","1","1","1","81","81","81","1","1","1"
"41","83","83","83","1","1","1","83","83","83","1","1","1","83","83","83","1","1","1","83","83","83","1","1","1","83","83","83","1","1","1","83","83","83","1","1","1","83","83","83","1","1","1"
"42","85","85","85","1","1","1","85","85","85","1","1","1","85","85","85","1","1","1","85","85","85","1","1","1","85","85","85","1","1","1","85","85","85","1","1","1","85","85","85","1","1","1"
"43","87","87","87","1","1","1","87","87","87","1","1","1","87","87","87","1","1","1","87","87","87","1","1","1","87","87","87","1","1","1","87","87","87","1","1","1","87","87","87","1","1","1"
"44","89","89","89","1","1","1","89","89","89","1","1","1","89","89","89","1","1","1","89","89","89","1","1","1","89","89","89","1","1","1","89","89","89","1","1","1","89","89","89","1","1","1"
"45","91","91","91","1","1","1","91","91","91","1","1","1","91","91","91","1","1","1","91","91","91","1","1","1","91","91","91","1","1","1","91","91","91","1","1","1","91","91","91","1","1","1"
"46","93","93","93","1","1","1","93","93","93","1","1","1","93","93","93","1","1","1","93","93","93","1","1","1","93","93","93","1","1","1","93","93","93","1","1","1","93","93","93","1","1","1"
"47","95","95","95","1","1","1","95","95","95","1","1","1","95","95","95","1","1","1","95","95","95","1","1","1","95","95","95","1","1","1","95","95","95","1","1","1","95","95","95","1","1","1"
"48","97","97","97","1","1","1","97","97","97","1","1","1","97","97","97","1","1","1","97","97","97","1","1","1","97","97","97","1","1","1","97","97","97","1","1","1","97","97","97","1","1","1"
"49","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1"
"50","101","101","101","1","1","1","101","101","101","1","1","1","101","101","101","1","1","1","101","101","101","1","1","1","101","101","101","1","1","1","101","101","101","1","1","1","101","101","101","1","1","1"
"51","103","103","103","1","1","1","103","103","103","1","1","1","103","103","103","1","1","1","103","103","103","1","1","1","103","103","103","1","1","1","103","103","103","1","1","1","103","103","103","1","1","1"
"52","105","105","105","1","1","1","105","105","105","1","1","1","105","105","105","1","1","1","105","105","105","1","1","1","105","105","105","1","1","1","105","105","105","1","1","1","105","105","105","1","1","1"
"53","107","107","107","1","1","1","107","107","107","1","1","1","107","107","107","1","1","1","107","107","107","1","1","1","107","107","107","1","1","1","107","107","107","1","1","1","107","107","107","1","1","1"
"54","109","109","109","1","1","1","109","109","109","1","1","1","109","109","109","1","1","1","109","109","109","1","1","1","109","109","109","1","1","1","109","109","109","1","1","1","109","109","109","1","1","1"
"55","111","111","111","1","1","1","111","111","111","1","1","1","111","111","111","1","1","1","111","111","111","1","1","1","111","111","111","1","1","1","111","111","111","1","1","1","111","111","111","1","1","1"
"56","113","113","113","1","1","1","113","113","113","1","1","1","113","113","113","1","1","1","113","113","113","1","1","1","113","113","113","1","1","1","113","113","113","1","1","1","113","113","113","1","1","1"
"57","115","115","115","1","1","1","115","115","115","1","1","1","115","115","115","1","1","1","115","115","115","1","1","1","115","115","115","1","1","1","115","115","115","1","1","1","115","115","115","1","1","1"
"58","117","117","117","1","1","1","117","117","117","1","1","1","117","117","117","1","1","1","117","117","117","1","1","1","117","117","117","1","1","1","117","117","117","1","1","1","117","117","117","1","1","1"
"59","119","119","119","1","1","1","119","119","119","1","1","1","119","119","119","1","1","1","119","119","119","1","1","1","119","119","119","1","1","1","119","119","119","1","1","1","119","119","119","1","1","1"
"60","121","121","121","1","1","1","121","121","121","1","1","1","121","121","121","1","1","1","121","121","121","1","1","1","121","121","121","1","1","1","121","121","121","1","1","1","121","121","121","1","1","1"
"61","123","123","123","1","1","1","123","123","123","1","1","1","123","123","123","1","1","1","123","123","123","1","1","1","123","123","123","1","1","1","123","123","123","1","1","1","123","123","123","1","1","1"
"62","125","125","125","1","1","1","125","125","125","1","1","1","125","125","125","1","1","1","125","125","125","1","1","1","125","125","125","1","1","1","125","125","125","1","1","1","125","125","125","1","1","1"
"63","127","127","127","1","1","1","127","127","127","1","1","1","127","127","127","1","1","1","127","127","127","1","1","1","127","127","127","1","1","1","127","127","127","1","1","1","127","127","127","1","1","1"
"64","129","129","129","1","1","1","129","129","129","1","1","1","129","129","129","1","1","1","129","129","129","1","1","1","129","129","129","1","1","1","129","129","129","1","1","1","129","129","129","1","1","1"
"65","131","131","131","1","1","1","131","131","131","1","1","1","131","131","131","1","1","1","131","131","131","1","1","1","131","131","131","1","1","1","131","131","131","1","1","1","131","131","131","1","1","1"
"66","133","133","133","1","1","1","133","133","133","1","1","1","133","133","133","1","1","1","133","133","133","1","1","1","133","133","133","1","1","1","133","133","133","1","1","1","133","133","133","1","1","1"
"67","135","135","135","1","1","1","135","135","135","1","1","1","135","135","135","1","1","1","135","135","135","1","1","1","135","135","135","1","1","1","135","135","135","1","1","1","135","135","135","1","1","1"
"68","137","137","137","1","1","1","137","137","137","1","1","1","137","137","137","1","1","1","137","137","137","1","1","1","137","137","137","1","1","1","137","137","137","1","1","1","137","137","137","1","1","1"
"69","139","139","139","1","1","1","139","139","139","1","1","1","139","139","139","1","1","1","139","139","139","1","1","1","139","139","139","1","1","1","139","139","139","1","1","1","139","139","139","1","1","1"
"70","141","141","141","1","1","1","141","141","141","1","1","1","141","141","141","1","1","1","141","141","141","1","1","1","141","141","141","1","1","1","141","141","141","1","1","1","141","141","141","1","1","1"
"71","143","143","143","1","1","1","143","143","143","1","1","1","143","143","143","1","1","1","143","143","143","1","1","1","143","143","143","1","1","1","143","143","143","1","1","1","143","143","143","1","1","1"
"72","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1"
"73","147","147","147","1","1","1","147","147","147","1","1","1","147","147","147","1","1","1","147","147","147","1","1","1","147","147","147","1","1","1","147","147","147","1","1","1","147","147","147","1","1","1"
"74","149","149","149","1","1","1","149","149","149","1","1","1","149","149","149","1","1","1","149","149","149","1","1","1","149","149","149","1","1","1","149","149","149","1","1","1","149","149","149","1","1","1"
"75","151","151","151","1","1","1","151","151","151","1","1","1","151","151","151","1","1","1","151","151","151","1","1","1","151","151","151","1","1","1","151","151","151","1","1","1","151","151","151","1","1","1"
"76","153","153","153","1","1","1","153","153","153","1","1","1","153","153","153","1","1","1","153","153","153","1","1","1","153","153","153","1","1","1","153","153","153","1","1","1","153","153","153","1","1","1"
"77","155","155","155","1","1","1","155","155","155","1","1","1","155","155","155","1","1","1","155","155","155","1","1","1","155","155","155","1","1","1","155","155","155","1","1","1","155","155","155","1","1","1"
"78","157","157","157","1","1","1","157","157","157","1","1","1","157","157","157","1","1","1","157","157","157","1","1","1","157","157","157","1","1","1","157","157","157","1","1","1","157","157","157","1","1","1"
"79","159","159","159","1","1","1","159","159","159","1","1","1","159","159","159","1","1","1","159","159","159","1","1","1","159","159","159","1","1","1","159","159","159","1","1","1","159","159","159","1","1","1"
"80","161","161","161","1","1","1","161","161","161","1","1","1","161","161","161","1","1","1","161","161","161","1","1","1","161","161","161","1","1","1","161","161","161","1","1","1","161","161","161","1","1","1"
"81","163","163","163","1","1","1","163","163","163","1","1","1","163","163","163","1","1","1","163","163","163","1","1","1","163","163","163","1","1","1","163","163","163","1","1","1","163","163","163","1","1","1"
"82","165","165","165","1","1","1","165","165","165","1","1","1","165","165","165","1","1","1","165","165","165","1","1","1","165","165","165","1","1","1","165","165","165","1","1","1","165","165","165","1","1","1"
"83","167","167","167","1","1","1","167","167","167","1","1","1","167","167","167","1","1","1","167","167","167","1","1","1","167","167","167","1","1","1","167","167","167","1","1","1","167","167","167","1","1","1"
"84","169","169","169","1","1","1","169","169","169","1","1","1","169","169","169","1","1","1","169","169","169","1","1","1","169","169","169","1","1","1","169","169","169","1","1","1","169","169","169","1","1","1"
"85","171","171","171","1","1","1","171","171","171","1","1","1","171","171","171","1","1","1","171","171","171","1","1","1","171","171","171","1","1","1","171","171","171","1","1","1","171","171","171","1","1","1"
"86","173","173","173","1","1","1","173","173","173","1","1","1","173","173","173","1","1","1","173","173","173","1","1","1","173","173","173","1","1","1","173","173","173","1","1","1","173","173","173","1","1","1"
"87","175","175","175","1","1","1","175","175","175","1","1","1","175","175","175","1","1","1","175","175","175","1","1","1","175","175","175","1","1","1","175","175","175","1","1","1","175","175","175","1","1","1"
"88","177","177","177","1","1","1","177","177","177","1","1","1","177","177","177","1","1","1","177","177","177","1","1","1","177","177","177","1","1","1","177","177","177","1","1","1","177","177","177","1","1","1"
"89","179","179","179","1","1","1","179","179","179","1","1","1","179","179","179","1","1","1","179","179","179","1","1","1","179","179","179","1","1","1","179","179","179","1","1","1","179","179","179","1","1","1"